contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
PLUG210430C00038500,2021-04-21 18:32:48,2.0,38.5,0.05,0.06,0.05,call,2021-04-30,0.024657534246575342,1.125
PLUG210430C00043500,2021-04-20 14:46:03,1.0,43.5,0.02,0.04,0.03,call,2021-04-30,0.024657534246575342,1.375
PLUG210430C00044000,2021-04-19 18:43:54,3.0,44.0,0.02,0.26,0.03,call,2021-04-30,0.024657534246575342,1.375
PLUG210430C00044500,2021-04-21 18:25:54,2.0,44.5,0.02,0.31,0.02,call,2021-04-30,0.024657534246575342,1.25
PLUG210430C00045000,2021-04-21 17:52:31,4.0,45.0,0.02,0.03,0.02,call,2021-04-30,0.024657534246575342,1.375
PLUG210430C00045500,2021-04-21 16:30:38,1.0,45.5,0.02,0.19,0.03,call,2021-04-30,0.024657534246575342,1.5
PLUG210430C00046000,2021-04-16 19:08:45,20.0,46.0,0.02,0.03,0.03,call,2021-04-30,0.024657534246575342,1.5
PLUG210430C00046500,2021-04-20 14:28:05,23.0,46.5,0.02,0.3,0.02,call,2021-04-30,0.024657534246575342,1.5
PLUG210430C00047000,2021-04-16 19:21:00,6.0,47.0,0.01,0.03,0.04,call,2021-04-30,0.024657534246575342,1.625
PLUG210430C00047500,2021-04-21 18:51:57,100.0,47.5,0.02,0.3,0.02,call,2021-04-30,0.024657534246575342,1.5
PLUG210430C00048000,2021-04-21 14:45:04,3.0,48.0,0.02,0.04,0.02,call,2021-04-30,0.024657534246575342,1.5
PLUG210430C00049000,2021-04-20 18:41:47,22.0,49.0,0.02,0.26,0.02,call,2021-04-30,0.024657534246575342,1.5
PLUG210430C00050000,2021-04-21 18:01:13,5.0,50.0,0.0,0.0,0.03,call,2021-04-30,0.024657534246575342,1.75
PLUG210430C00051000,2021-04-21 18:43:40,1.0,51.0,0.01,0.07,0.02,call,2021-04-30,0.024657534246575342,1.625
PLUG210430C00051500,2021-04-20 18:25:53,3.0,51.5,0.01,0.03,0.01,call,2021-04-30,0.024657534246575342,1.0
PLUG210430C00052000,2021-04-16 19:33:31,1.0,52.0,0.01,0.03,0.02,call,2021-04-30,0.024657534246575342,1.75
PLUG210430C00052500,2021-04-19 19:31:51,15.0,52.5,0.01,0.13,0.02,call,2021-04-30,0.024657534246575342,1.75
PLUG210430C00055000,2021-04-20 18:26:13,11.0,55.0,0.01,0.03,0.01,call,2021-04-30,0.024657534246575342,1.5
PLUG210430C00060000,2021-04-19 18:40:22,1.0,60.0,0.0,0.27,0.02,call,2021-04-30,0.024657534246575342,1.9375
PLUG210430C00065000,2021-04-21 18:13:14,8.0,65.0,0.0,0.01,0.01,call,2021-04-30,0.024657534246575342,
PLUG210430C00070000,2021-04-19 16:38:53,32.0,70.0,0.0,0.01,0.01,call,2021-04-30,0.024657534246575342,
PLUG210430P00024000,2021-04-21 19:55:14,673.0,24.0,0.42,0.44,0.44,put,2021-04-30,0.024657534246575342,0.953125
PLUG210430P00025000,2021-04-21 19:56:12,554.0,25.0,0.63,0.69,0.68,put,2021-04-30,0.024657534246575342,0.921875
PLUG210430P00026000,2021-04-21 19:56:49,622.0,26.0,1.01,1.04,1.06,put,2021-04-30,0.024657534246575342,0.9375
PLUG210430P00026500,2021-04-21 19:52:31,333.0,26.5,1.22,1.26,1.28,put,2021-04-30,0.024657534246575342,0.9375
PLUG210430P00027000,2021-04-21 19:55:20,115.0,27.0,1.45,1.5,1.52,put,2021-04-30,0.024657534246575342,0.9453125
PLUG210430P00027500,2021-04-21 19:42:43,43.0,27.5,1.72,1.76,1.99,put,2021-04-30,0.024657534246575342,1.0546875
PLUG210430P00028000,2021-04-21 19:56:26,683.0,28.0,2.0,2.08,2.09,put,2021-04-30,0.024657534246575342,0.9375
PLUG210430P00029000,2021-04-21 19:45:20,461.0,29.0,2.69,2.76,3.1,put,2021-04-30,0.024657534246575342,1.15625
PLUG210430P00030000,2021-04-21 19:54:24,147.0,30.0,3.4,3.6,3.57,put,2021-04-30,0.024657534246575342,1.0
PLUG210430P00031000,2021-04-21 19:40:02,13.0,31.0,4.2,5.1,4.75,put,2021-04-30,0.024657534246575342,1.2734375
PLUG210430P00032000,2021-04-21 19:56:40,401.0,32.0,5.15,5.4,5.28,put,2021-04-30,0.024657534246575342,1.0625
PLUG210430P00032500,2021-04-21 19:54:24,18.0,32.5,5.6,5.9,5.76,put,2021-04-30,0.024657534246575342,1.109375
PLUG210430P00033000,2021-04-21 17:40:00,305.0,33.0,5.95,6.35,6.92,put,2021-04-30,0.024657534246575342,1.6796875
PLUG210430P00033500,2021-04-21 14:48:49,10.0,33.5,6.15,7.55,8.0,put,2021-04-30,0.024657534246575342,
PLUG210430P00034000,2021-04-21 19:44:52,8.0,34.0,5.9,7.4,7.48,put,2021-04-30,0.024657534246575342,1.5
PLUG210430P00035000,2021-04-21 18:34:50,31.0,35.0,8.0,8.35,8.39,put,2021-04-30,0.024657534246575342,1.515625
PLUG210430P00036000,2021-04-21 16:15:02,5.0,36.0,8.85,10.2,9.8,put,2021-04-30,0.024657534246575342,
PLUG210430P00037000,2021-04-20 14:13:14,2.0,37.0,9.5,11.05,11.16,put,2021-04-30,0.024657534246575342,
PLUG210430P00037500,2021-04-21 14:46:45,3.0,37.5,10.05,11.25,10.2,put,2021-04-30,0.024657534246575342,
PLUG210430P00038000,2021-04-21 15:50:23,15.0,38.0,10.8,11.45,11.92,put,2021-04-30,0.024657534246575342,
PLUG210430P00043000,2021-04-21 19:19:39,13.0,43.0,15.5,16.4,16.22,put,2021-04-30,0.024657534246575342,
PLUG210430P00043500,2021-04-13 16:15:55,1.0,43.5,16.05,17.65,15.38,put,2021-04-30,0.024657534246575342,
PLUG210430P00044000,2021-04-19 17:45:09,20.0,44.0,16.3,17.95,17.52,put,2021-04-30,0.024657534246575342,
PLUG210430P00044500,2021-04-21 19:37:52,1.0,44.5,16.7,18.55,17.85,put,2021-04-30,0.024657534246575342,
PLUG210430P00045000,2021-04-21 19:19:09,3.0,45.0,17.55,18.55,18.23,put,2021-04-30,0.024657534246575342,
PLUG210430P00046000,2021-04-21 13:44:26,2.0,46.0,18.4,20.0,21.59,put,2021-04-30,0.024657534246575342,
PLUG210430P00046500,2021-04-09 13:57:30,2.0,46.5,18.4,20.9,14.25,put,2021-04-30,0.024657534246575342,
PLUG210430P00047000,2021-04-21 19:55:47,7.0,47.0,19.45,21.0,19.35,put,2021-04-30,0.024657534246575342,
PLUG210430P00047500,2021-04-14 14:25:12,2.0,47.5,19.75,22.2,18.3,put,2021-04-30,0.024657534246575342,
PLUG210430P00048000,2021-04-21 17:54:09,5.0,48.0,20.0,22.55,21.82,put,2021-04-30,0.024657534246575342,
PLUG210430P00049000,2021-04-15 16:52:40,1.0,49.0,20.35,24.0,23.82,put,2021-04-30,0.024657534246575342,
PLUG210430P00050000,2021-04-21 18:45:43,3.0,50.0,22.55,24.2,23.27,put,2021-04-30,0.024657534246575342,
PLUG210430P00051000,2021-04-12 14:08:17,2.0,51.0,23.35,26.05,20.91,put,2021-04-30,0.024657534246575342,
PLUG210430P00051500,2021-04-09 13:48:25,5.0,51.5,23.8,26.05,26.32,put,2021-04-30,0.024657534246575342,
PLUG210430P00052000,2021-04-09 13:41:24,1.0,52.0,24.4,26.6,20.13,put,2021-04-30,0.024657534246575342,
PLUG210430P00052500,2021-04-15 18:45:11,1.0,52.5,24.9,27.0,27.28,put,2021-04-30,0.024657534246575342,
PLUG210430P00055000,2021-04-21 15:01:54,1.0,55.0,27.5,29.5,29.17,put,2021-04-30,0.024657534246575342,
PLUG210430P00060000,2021-04-19 15:11:11,10.0,60.0,32.45,34.6,34.73,put,2021-04-30,0.024657534246575342,
PLUG210430P00065000,2021-04-07 17:30:05,2.0,65.0,37.7,39.5,33.3,put,2021-04-30,0.024657534246575342,
PLUG210430P00070000,2021-04-15 15:13:20,12.0,70.0,42.55,44.55,44.81,put,2021-04-30,0.024657534246575342,
PLUG210507C00018000,2021-04-20 17:25:19,1.0,18.0,7.15,11.0,7.75,call,2021-05-07,0.043835616438356165,
PLUG210507C00019000,2021-04-19 04:01:04,,19.0,6.2,10.5,6.75,call,2021-05-07,0.043835616438356165,
PLUG210507C00020000,2021-04-21 14:45:02,3.0,20.0,6.35,8.7,6.0,call,2021-05-07,0.043835616438356165,
PLUG210507C00021000,2021-04-21 17:23:17,5.0,21.0,4.9,7.2,5.65,call,2021-05-07,0.043835616438356165,
PLUG210507C00022000,2021-04-21 18:40:28,24.0,22.0,4.65,6.1,5.25,call,2021-05-07,0.043835616438356165,0.65625
