contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
BAC210319C00035500,2021-03-05 20:53:57,35.5,1.83,1.87,1.86,call,2021-03-19,0.038356164383561646,0.3411865234375
BAC210319C00036000,2021-03-05 20:58:23,36.0,1.49,1.53,1.46,call,2021-03-19,0.038356164383561646,0.3076171875
BAC210319C00036500,2021-03-05 20:59:03,36.5,1.19,1.21,1.16,call,2021-03-19,0.038356164383561646,0.311279296875
BAC210319C00037000,2021-03-05 20:58:06,37.0,0.91,0.96,0.93,call,2021-03-19,0.038356164383561646,0.3326416015625
BAC210319C00037500,2021-03-05 20:54:39,37.5,0.69,0.73,0.68,call,2021-03-19,0.038356164383561646,0.31005859375
BAC210319C00038000,2021-03-05 20:54:13,38.0,0.53,0.55,0.52,call,2021-03-19,0.038356164383561646,0.3192138671875
BAC210319C00038500,2021-03-05 20:53:21,38.5,0.39,0.41,0.42,call,2021-03-19,0.038356164383561646,0.3485107421875
BAC210319C00039000,2021-03-05 20:52:54,39.0,0.29,0.31,0.31,call,2021-03-19,0.038356164383561646,0.340576171875
BAC210319C00039500,2021-03-05 20:38:52,39.5,0.21,0.23,0.21,call,2021-03-19,0.038356164383561646,0.3326416015625
BAC210319C00040000,2021-03-05 20:55:20,40.0,0.15,0.17,0.16,call,2021-03-19,0.038356164383561646,5.0
BAC210319P00033500,2021-03-05 20:51:34,33.5,0.13,0.14,0.14,put,2021-03-19,0.038356164383561646,5.0
BAC210319P00034000,2021-03-05 20:52:48,34.0,0.17,0.19,0.19,put,2021-03-19,0.038356164383561646,0.38818359375
BAC210319P00034500,2021-03-05 20:58:23,34.5,0.23,0.25,0.24,put,2021-03-19,0.038356164383561646,0.3662109375
BAC210319P00035000,2021-03-05 20:59:39,35.0,0.31,0.33,0.31,put,2021-03-19,0.038356164383561646,0.355224609375
BAC210319P00035500,2021-03-05 20:58:41,35.5,0.41,0.44,0.43,put,2021-03-19,0.038356164383561646,0.3546142578125
BAC210319P00036000,2021-03-05 20:46:43,36.0,0.55,0.58,0.58,put,2021-03-19,0.038356164383561646,0.33935546875
BAC210319P00036500,2021-03-05 20:47:52,36.5,0.73,0.77,0.76,put,2021-03-19,0.038356164383561646,0.3350830078125
BAC210319P00037000,2021-03-05 20:50:52,37.0,0.96,1.01,0.98,put,2021-03-19,0.038356164383561646,0.338134765625
BAC210319P00037500,2021-03-05 20:48:36,37.5,1.24,1.29,1.27,put,2021-03-19,0.038356164383561646,0.32958984375
BAC210319P00038000,2021-03-05 20:39:50,38.0,1.56,1.61,1.6,put,2021-03-19,0.038356164383561646,0.3350830078125
BAC210319P00038500,2021-03-05 17:44:59,38.5,1.95,1.98,1.93,put,2021-03-19,0.038356164383561646,0.3387451171875
BAC210319P00039000,2021-03-05 20:35:01,39.0,2.35,2.39,2.42,put,2021-03-19,0.038356164383561646,0.377197265625
BAC210319P00039500,2021-03-05 15:58:43,39.5,2.75,2.95,3.15,put,2021-03-19,0.038356164383561646,0.538330078125
BAC210319P00040000,2021-03-05 20:23:17,40.0,3.2,3.3,3.2,put,2021-03-19,0.038356164383561646,0.350341796875
BAC210326C00033500,2021-03-04 18:14:12,33.5,3.55,3.75,3.85,call,2021-03-26,0.057534246575342465,0.4412841796875
BAC210326C00034000,2021-03-05 16:59:50,34.0,3.2,3.3,2.91,call,2021-03-26,0.057534246575342465,0.0
BAC210326C00034500,2021-03-05 20:23:32,34.5,2.77,2.89,2.85,call,2021-03-26,0.057534246575342465,0.357666015625
BAC210326C00035000,2021-03-05 14:30:01,35.0,2.38,2.49,2.11,call,2021-03-26,0.057534246575342465,0.20751953125
BAC210326C00035500,2021-03-05 20:00:09,35.5,2.0,2.1,1.98,call,2021-03-26,0.057534246575342465,0.3106689453125
BAC210326C00036000,2021-03-05 20:33:23,36.0,1.67,1.76,1.7,call,2021-03-26,0.057534246575342465,0.318603515625
BAC210326C00036500,2021-03-05 20:37:44,36.5,1.36,1.51,1.4,call,2021-03-26,0.057534246575342465,0.321044921875
BAC210326C00037000,2021-03-05 20:53:05,37.0,1.1,1.19,1.18,call,2021-03-26,0.057534246575342465,0.34149169921875
BAC210326C00037500,2021-03-05 20:42:28,37.5,0.87,0.97,0.95,call,2021-03-26,0.057534246575342465,0.328369140625
BAC210326C00038000,2021-03-05 20:59:58,38.0,0.7,0.77,0.77,call,2021-03-26,0.057534246575342465,0.32958984375
BAC210326C00038500,2021-03-05 20:57:58,38.5,0.54,0.62,0.56,call,2021-03-26,0.057534246575342465,0.322265625
BAC210326C00040000,2021-03-05 20:59:06,40.0,0.25,0.28,0.26,call,2021-03-26,0.057534246575342465,0.3253173828125
BAC210326P00033500,2021-03-05 19:21:31,33.5,0.21,0.25,0.28,put,2021-03-26,0.057534246575342465,0.4010009765625
BAC210326P00034000,2021-03-05 20:49:32,34.0,0.29,0.34,0.28,put,2021-03-26,0.057534246575342465,0.3594970703125
BAC210326P00034500,2021-03-05 20:02:17,34.5,0.35,0.42,0.42,put,2021-03-26,0.057534246575342465,0.3826904296875
BAC210326P00035000,2021-03-05 20:56:23,35.0,0.43,0.52,0.5,put,2021-03-26,0.057534246575342465,0.369873046875
BAC210326P00035500,2021-03-05 20:05:57,35.5,0.57,0.71,0.66,put,2021-03-26,0.057534246575342465,0.3594970703125
BAC210326P00036000,2021-03-05 17:13:22,36.0,0.76,0.81,0.83,put,2021-03-26,0.057534246575342465,0.352783203125
BAC210326P00036500,2021-03-05 18:18:10,36.5,0.92,1.01,1.1,put,2021-03-26,0.057534246575342465,0.3753662109375
BAC210326P00037000,2021-03-05 19:54:35,37.0,1.18,1.26,1.29,put,2021-03-26,0.057534246575342465,0.3680419921875
BAC210326P00037500,2021-03-04 17:26:03,37.5,1.43,1.53,1.74,put,2021-03-26,0.057534246575342465,0.406494140625
BAC210326P00038000,2021-03-05 20:16:41,38.0,1.74,1.86,1.8,put,2021-03-26,0.057534246575342465,0.333251953125
BAC210326P00038500,2021-03-04 19:07:25,38.5,1.87,2.19,2.53,put,2021-03-26,0.057534246575342465,0.450439453125
BAC210326P00040000,2021-03-03 20:39:07,40.0,3.2,3.45,3.3,put,2021-03-26,0.057534246575342465,0.3326416015625
BAC210401C00033500,2021-03-04 17:29:07,33.5,3.65,3.95,3.75,call,2021-04-01,0.07397260273972603,0.343017578125
BAC210401C00034000,2021-03-05 20:16:34,34.0,3.25,3.4,3.39,call,2021-04-01,0.07397260273972603,0.3631591796875
BAC210401C00034500,2021-03-04 19:12:06,34.5,2.88,3.05,2.7,call,2021-04-01,0.07397260273972603,0.2490234375
BAC210401C00035000,2021-03-05 20:07:14,35.0,2.49,2.61,2.51,call,2021-04-01,0.07397260273972603,0.3302001953125
BAC210401C00035500,2021-03-04 18:31:02,35.5,2.12,2.38,2.21,call,2021-04-01,0.07397260273972603,0.33172607421875
BAC210401C00036000,2021-03-05 20:59:25,36.0,1.82,1.91,1.87,call,2021-04-01,0.07397260273972603,0.3228759765625
BAC210401C00036500,2021-03-05 20:30:55,36.5,1.52,1.6,1.57,call,2021-04-01,0.07397260273972603,0.32470703125
BAC210401C00037000,2021-03-05 20:49:04,37.0,1.23,1.36,1.3,call,2021-04-01,0.07397260273972603,0.32958984375
BAC210401C00037500,2021-03-05 20:58:41,37.5,1.03,1.12,1.05,call,2021-04-01,0.07397260273972603,0.3131103515625
BAC210401C00038000,2021-03-05 20:41:13,38.0,0.86,1.02,0.91,call,2021-04-01,0.07397260273972603,0.3240966796875
BAC210401C00038500,2021-03-05 19:42:49,38.5,0.66,0.73,0.68,call,2021-04-01,0.07397260273972603,0.31280517578125
BAC210401C00039000,2021-03-05 20:02:22,39.0,0.53,0.6,0.57,call,2021-04-01,0.07397260273972603,0.33111572265625
BAC210401C00039500,2021-03-05 19:40:45,39.5,0.39,0.49,0.47,call,2021-04-01,0.07397260273972603,0.33203125
BAC210401C00040000,2021-03-05 20:51:16,40.0,0.31,0.4,0.37,call,2021-04-01,0.07397260273972603,0.325927734375
BAC210401P00033500,2021-03-05 18:11:58,33.5,0.26,0.37,0.3,put,2021-04-01,0.07397260273972603,0.362548828125
BAC210401P00034000,2021-03-05 19:31:53,34.0,0.35,0.43,0.39,put,2021-04-01,0.07397260273972603,0.3631591796875
BAC210401P00034500,2021-03-05 19:27:35,34.5,0.43,0.53,0.53,put,2021-04-01,0.07397260273972603,0.38330078125
BAC210401P00035000,2021-03-05 20:01:54,35.0,0.55,0.65,0.63,put,2021-04-01,0.07397260273972603,0.36163330078125
BAC210401P00035500,2021-03-04 20:50:29,35.5,0.71,0.78,0.79,put,2021-04-01,0.07397260273972603,0.352783203125
BAC210401P00036000,2021-03-05 16:42:26,36.0,0.89,0.98,0.92,put,2021-04-01,0.07397260273972603,0.3363037109375
BAC210401P00036500,2021-03-05 18:54:34,36.5,1.09,1.17,1.09,put,2021-04-01,0.07397260273972603,0.3302001953125
