contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
BAC210319C00036500,2021-03-03 20:59:34,36.5,0.88,0.92,0.92,call,2021-03-19
BAC210319C00037000,2021-03-03 20:59:12,37.0,0.68,0.72,0.69,call,2021-03-19
BAC210319C00037500,2021-03-03 20:26:40,37.5,0.51,0.55,0.54,call,2021-03-19
BAC210319C00038000,2021-03-03 20:59:34,38.0,0.4,0.42,0.4,call,2021-03-19
BAC210319C00038500,2021-03-03 20:30:06,38.5,0.29,0.31,0.32,call,2021-03-19
BAC210319C00039000,2021-03-03 20:41:34,39.0,0.22,0.23,0.24,call,2021-03-19
BAC210319C00039500,2021-03-03 20:58:14,39.5,0.15,0.18,0.17,call,2021-03-19
BAC210319C00040000,2021-03-03 20:58:13,40.0,0.11,0.13,0.13,call,2021-03-19
BAC210319P00033000,2021-03-03 20:22:35,33.0,0.16,0.18,0.16,put,2021-03-19
BAC210319P00033500,2021-03-03 20:46:51,33.5,0.21,0.24,0.2,put,2021-03-19
BAC210319P00034000,2021-03-03 20:52:49,34.0,0.26,0.31,0.28,put,2021-03-19
BAC210319P00034500,2021-03-03 20:57:54,34.5,0.38,0.4,0.36,put,2021-03-19
BAC210319P00035000,2021-03-03 20:31:35,35.0,0.51,0.54,0.5,put,2021-03-19
BAC210319P00035500,2021-03-03 20:41:49,35.5,0.65,0.71,0.63,put,2021-03-19
BAC210319P00036000,2021-03-03 20:38:01,36.0,0.88,0.92,0.84,put,2021-03-19
BAC210319P00036500,2021-03-03 20:46:25,36.5,1.09,1.17,1.15,put,2021-03-19
BAC210319P00037000,2021-03-03 20:58:37,37.0,1.41,1.48,1.4,put,2021-03-19
BAC210319P00037500,2021-03-03 18:54:58,37.5,1.75,1.81,1.5,put,2021-03-19
BAC210319P00038000,2021-03-03 19:07:29,38.0,2.14,2.18,1.95,put,2021-03-19
BAC210319P00038500,2021-03-03 20:31:13,38.5,2.53,2.58,2.37,put,2021-03-19
BAC210319P00039000,2021-03-02 18:42:08,39.0,2.86,3.05,2.93,put,2021-03-19
BAC210319P00039500,2021-02-26 14:30:11,39.5,3.3,3.45,4.3,put,2021-03-19
BAC210319P00040000,2021-03-03 20:58:13,40.0,3.8,3.95,3.8,put,2021-03-19
BAC210326C00033000,2021-03-03 18:45:15,33.0,3.45,3.65,3.97,call,2021-03-26
BAC210326C00033500,2021-03-03 19:24:50,33.5,3.05,3.25,3.15,call,2021-03-26
BAC210326C00034000,2021-03-03 20:34:25,34.0,2.64,2.78,2.83,call,2021-03-26
BAC210326C00034500,2021-03-03 19:08:14,34.5,2.23,2.47,2.49,call,2021-03-26
BAC210326C00035000,2021-03-03 19:05:10,35.0,1.92,2.06,2.11,call,2021-03-26
BAC210326C00035500,2021-03-03 19:18:23,35.5,1.61,1.74,1.79,call,2021-03-26
BAC210326C00036000,2021-03-03 20:34:05,36.0,1.3,1.45,1.42,call,2021-03-26
BAC210326C00036500,2021-03-03 20:59:51,36.5,1.09,1.15,1.12,call,2021-03-26
BAC210326C00037000,2021-03-03 20:37:28,37.0,0.88,0.94,0.98,call,2021-03-26
BAC210326C00037500,2021-03-03 20:15:22,37.5,0.71,0.77,0.82,call,2021-03-26
BAC210326C00038000,2021-03-03 20:41:48,38.0,0.56,0.62,0.6,call,2021-03-26
BAC210326C00038500,2021-03-03 20:59:12,38.5,0.43,0.5,0.48,call,2021-03-26
BAC210326C00040000,2021-03-03 20:59:12,40.0,0.21,0.25,0.24,call,2021-03-26
BAC210326P00033000,2021-03-03 17:47:54,33.0,0.22,0.31,0.24,put,2021-03-26
BAC210326P00033500,2021-03-03 19:33:35,33.5,0.31,0.38,0.3,put,2021-03-26
BAC210326P00034000,2021-03-03 19:32:13,34.0,0.39,0.47,0.42,put,2021-03-26
BAC210326P00034500,2021-03-03 19:11:57,34.5,0.51,0.59,0.5,put,2021-03-26
BAC210326P00035000,2021-03-03 19:30:11,35.0,0.67,0.75,0.63,put,2021-03-26
BAC210326P00035500,2021-03-03 19:23:08,35.5,0.84,0.93,0.8,put,2021-03-26
BAC210326P00036000,2021-03-03 20:36:09,36.0,1.03,1.46,1.03,put,2021-03-26
BAC210326P00036500,2021-03-03 20:07:57,36.5,1.26,1.42,1.3,put,2021-03-26
BAC210326P00037000,2021-03-03 18:30:19,37.0,1.56,1.69,1.42,put,2021-03-26
BAC210326P00037500,2021-03-03 18:43:59,37.5,1.93,2.07,1.84,put,2021-03-26
BAC210326P00040000,2021-03-03 20:39:07,40.0,3.85,4.05,3.8,put,2021-03-26
BAC210401C00033000,2021-03-02 20:33:59,33.0,3.55,3.8,3.9,call,2021-04-01
BAC210401C00033500,2021-03-03 19:36:04,33.5,3.15,3.4,3.3,call,2021-04-01
BAC210401C00034000,2021-03-03 18:47:13,34.0,2.75,2.95,3.1,call,2021-04-01
BAC210401C00034500,2021-03-03 20:53:00,34.5,2.3,2.47,2.5,call,2021-04-01
BAC210401C00035000,2021-03-03 18:53:36,35.0,2.05,2.14,2.38,call,2021-04-01
BAC210401C00035500,2021-03-03 20:58:34,35.5,1.75,1.9,1.81,call,2021-04-01
BAC210401C00036000,2021-03-03 20:24:45,36.0,1.48,1.6,1.58,call,2021-04-01
BAC210401C00036500,2021-03-03 20:59:16,36.5,1.22,1.35,1.33,call,2021-04-01
BAC210401C00037000,2021-03-03 20:59:02,37.0,1.01,1.12,1.08,call,2021-04-01
BAC210401C00037500,2021-03-03 19:23:42,37.5,0.83,0.92,0.91,call,2021-04-01
BAC210401C00038000,2021-03-03 20:59:12,38.0,0.7,0.75,0.74,call,2021-04-01
BAC210401C00038500,2021-03-03 20:08:04,38.5,0.55,0.64,0.7,call,2021-04-01
BAC210401C00039000,2021-03-03 20:40:14,39.0,0.44,0.52,0.51,call,2021-04-01
BAC210401C00039500,2021-03-03 20:50:31,39.5,0.35,0.44,0.41,call,2021-04-01
BAC210401C00040000,2021-03-03 20:47:41,40.0,0.28,0.36,0.35,call,2021-04-01
BAC210401P00033000,2021-03-03 19:07:46,33.0,0.34,0.41,0.34,put,2021-04-01
BAC210401P00033500,2021-03-03 20:12:16,33.5,0.4,0.49,0.38,put,2021-04-01
BAC210401P00034000,2021-03-03 20:58:41,34.0,0.5,0.59,0.52,put,2021-04-01
BAC210401P00034500,2021-03-03 16:04:26,34.5,0.63,0.74,0.59,put,2021-04-01
BAC210401P00035000,2021-03-03 17:50:46,35.0,0.79,0.87,0.74,put,2021-04-01
BAC210401P00035500,2021-03-03 20:46:49,35.5,0.98,1.05,0.95,put,2021-04-01
BAC210401P00036000,2021-03-03 18:27:25,36.0,1.18,1.34,1.15,put,2021-04-01
BAC210401P00036500,2021-03-03 19:43:58,36.5,1.43,1.56,1.34,put,2021-04-01
BAC210401P00037000,2021-03-03 18:31:04,37.0,1.71,1.87,1.56,put,2021-04-01
BAC210401P00038000,2021-03-03 20:34:44,38.0,2.29,2.49,2.34,put,2021-04-01
BAC210401P00038500,2021-03-03 16:30:21,38.5,2.67,2.94,2.55,put,2021-04-01
BAC210401P00040000,2021-03-03 18:34:35,40.0,3.9,4.15,3.65,put,2021-04-01
BAC210409C00034500,2021-03-01 19:28:30,34.5,2.52,2.75,2.19,call,2021-04-09
BAC210409C00035000,2021-03-03 20:48:25,35.0,2.19,2.37,2.4,call,2021-04-09
BAC210409C00035500,2021-03-03 15:15:51,35.5,1.91,2.05,2.11,call,2021-04-09
BAC210409C00036000,2021-03-03 18:24:22,36.0,1.67,1.78,1.92,call,2021-04-09
BAC210409C00036500,2021-03-03 20:05:39,36.5,1.38,1.53,1.49,call,2021-04-09
BAC210409C00037000,2021-03-03 20:46:25,37.0,1.18,1.3,1.28,call,2021-04-09
BAC210409C00037500,2021-03-03 20:21:01,37.5,0.99,1.1,1.13,call,2021-04-09
BAC210409C00038000,2021-03-03 20:32:46,38.0,0.82,0.93,0.92,call,2021-04-09
BAC210409C00038500,2021-03-03 18:45:48,38.5,0.68,0.79,0.78,call,2021-04-09
BAC210409C00039000,2021-03-03 18:41:08,39.0,0.57,0.66,0.7,call,2021-04-09
