,AAPL,APHA,BAC,C,DT,GE,HEXO,IWM,JPM,MS,MSFT,NXTD,PLUG,TD,TLRY,TSLA,UAMY,USB,UVXY,XLE,XLV
MSFT,0.7113465479628985,0.10831259402995116,0.1240619265466565,0.15451417306928028,0.566827262373251,-0.01628357136061205,0.09400327956353632,0.3912455078237781,0.11683796610445801,0.19449131399309857,1.0,0.2542019530209986,0.30012666702304225,0.22805075847652612,0.10506432472802357,0.5117117365253872,0.09069347013396199,0.08239314857410461,-0.5356865650466474,0.1605803673296614,0.5706339691775846
NXTD,0.17700021353653625,0.10497067916678261,0.0837123483571634,0.1085368240083995,0.25380865903812233,0.08527386361356667,0.1005182348357025,0.23421235145772315,0.06176016039222885,0.12254736498051394,0.2542019530209986,1.0,0.20852668219053386,0.06749898583371715,0.08352408102169306,0.21201962834164464,0.03713078834887543,0.06443674178722264,-0.2784198006416397,0.12096473895512344,0.15998153866294676
PLUG,0.30981694847108976,0.2690428038791866,0.22551885147335804,0.28396318708797846,0.30612305950610286,0.16412345803398953,0.2463896212106134,0.4843320826319566,0.2450155442919888,0.26986110681802994,0.30012666702304225,0.20852668219053386,1.0,0.1947138465194367,0.2463415045392406,0.3749919256952988,0.2592282824508256,0.21442461227903475,-0.40698328264799066,0.2212896953923646,0.24968422441845733
TD,0.19259351514423292,0.21808677760929746,0.778133641294662,0.8048515796478476,0.12314001764247719,0.5950234412531774,0.2672333215879126,0.7416666377430138,0.7650000235017939,0.7658192129471191,0.22805075847652612,0.06749898583371715,0.1947138465194367,1.0,0.14882932404493665,0.25218361249441607,0.06948424990180832,0.7780382380021936,-0.5092265110094534,0.7084209755298617,0.4510893291278312
TLRY,0.10671511217685963,0.7758902724371286,0.20680206946129068,0.21037807013015927,0.152159810391624,0.18019352853857376,0.5969879719532198,0.28810875232206035,0.20346966271890488,0.20841000153292993,0.10506432472802357,0.08352408102169306,0.2463415045392406,0.14882932404493665,1.0,0.15219388851748122,0.2857669067125214,0.18957655758673259,-0.20237815973150128,0.22262459515768848,0.12896088393935845
TSLA,0.5005815059977736,0.24024275415727514,0.1243072821673151,0.13668613294877063,0.3887687824224606,0.05101219830792972,0.14363943303895305,0.3837976340401293,0.11938733151253174,0.20689447381740622,0.5117117365253872,0.21201962834164464,0.3749919256952988,0.25218361249441607,0.15219388851748122,1.0,0.1482625995319756,0.10237113905200414,-0.3732205522206752,0.13819342019127767,0.35024953537480746
UAMY,0.11136706824017607,0.26628813928164846,0.03644332100670839,0.04340710041437674,0.10802653348871061,0.005927948631734775,0.16675141854885953,0.13629532350949622,0.05381840941519254,0.04420399794995178,0.09069347013396199,0.03713078834887543,0.2592282824508256,0.06948424990180832,0.2857669067125214,0.1482625995319756,1.0,0.05165900426918903,-0.05966013189536072,0.10469075097058284,0.10265431043298667
USB,0.06004817690226971,0.1747852100861995,0.9208969168931053,0.8507040577409838,0.005448018993248646,0.6213203658521114,0.21742131118009903,0.7035887249735119,0.9117962005993024,0.7839547542792964,0.08239314857410461,0.06443674178722264,0.21442461227903475,0.7780382380021936,0.18957655758673259,0.10237113905200414,0.05165900426918903,1.0,-0.40597472926003386,0.7271188970264458,0.384214527607812
UVXY,-0.47973581681613797,-0.22640173573361103,-0.43077934401722556,-0.4546070422210692,-0.4603726964552139,-0.3487519484183413,-0.23796604759352114,-0.6737858014748236,-0.4174814939798589,-0.4683045284407216,-0.5356865650466474,-0.2784198006416397,-0.40698328264799066,-0.5092265110094534,-0.20237815973150128,-0.3732205522206752,-0.05966013189536072,-0.40597472926003386,1.0,-0.4743962894921992,-0.6482028457955041
XLE,0.10341848076707551,0.25893156131715334,0.7501938134547179,0.745221763463369,0.10248432445295505,0.6314834390754689,0.22950321739504595,0.7385985435340005,0.7325558291332764,0.6877901959334075,0.1605803673296614,0.12096473895512344,0.2212896953923646,0.7084209755298617,0.22262459515768848,0.13819342019127767,0.10469075097058284,0.7271188970264458,-0.4743962894921992,1.0,0.43879884484283715
