,AAPL,APHA,BAC,C,DT,GE,HEXO,IWM,JPM,MS,MSFT,NXTD,PLUG,TD,TLRY,TSLA,UAMY,USB,UVXY,XLE,XLV
MSFT,0.07200987487796315,0.030321510500172028,0.013183815847836467,0.019723825191356008,0.08926312637198577,-0.0039845776407396215,0.030548301579853786,0.031440045186197946,0.010593122004280952,0.01945208441473226,0.08198226601577539,0.1280945786220697,0.08881177314226517,0.017359993770304553,0.04377191681748489,0.10927666741964491,0.04022916893298175,0.009064792949925122,-0.161715785684907,0.019075867647469425,0.027704503400725958
NXTD,0.11150200143036341,0.19360974454538038,0.06045200698722712,0.09125019398719417,0.24669201721591344,0.0742145374236932,0.20662725284204148,0.11798319753655102,0.038946086841601446,0.0796919321153389,0.1280945786220697,3.0688904073651684,0.37932783147470334,0.03258685716735867,0.21683415231390674,0.277403722345323,0.10612568013420993,0.04913596233931014,-0.525958101668629,0.09398933787133973,0.047093376314448626
PLUG,0.11217767735731045,0.2761374195143347,0.09338077651781122,0.1388380054225235,0.17355289474924895,0.08150566281695071,0.287519304866915,0.14225543960116144,0.08908838500822722,0.09806245405362979,0.08881177314226517,0.37932783147470334,1.064911691478383,0.05496926036493292,0.36129017581948447,0.29001802035144386,0.4028917610914073,0.0947776867447269,-0.4495429722307015,0.10022813634314975,0.04375791245171838
TD,0.019190396690651142,0.059889270744070466,0.08184479626142024,0.09880554440983877,0.019402880400789076,0.0751129438857594,0.08247888818078641,0.05538644802474672,0.06979881200842358,0.07386844188866278,0.017359993770304553,0.03258685716735867,0.05496926036493292,0.07142981484545638,0.05797083212001372,0.050841224850980964,0.03097402527076833,0.08646969701716904,-0.14509092337590948,0.08048638760436141,0.01990490342270339
TLRY,0.05641856985069326,1.1198056137714203,0.12213332621662686,0.14500848838515173,0.12095108373073504,0.12954769289559562,0.9723227997595977,0.11797193287997466,0.10506800266148333,0.11074607340993353,0.04377191681748489,0.21683415231390674,0.36129017581948447,0.05797083212001372,2.030010764376794,0.1611155408060716,0.6097375394335426,0.11801524346918658,-0.31538909416282573,0.14229349999723823,0.031084767467533955
TSLA,0.13159907804987028,0.17818507893031282,0.03654260766224893,0.047500217791311264,0.15814647320106923,0.017229570963150576,0.12084674964544415,0.08110183384749425,0.0307136314783941,0.05422188347435006,0.10927666741964491,0.277403722345323,0.29001802035144386,0.050841224850980964,0.1611155408060716,0.5549303140026496,0.16710388183371985,0.032030721363844064,-0.2971418930941796,0.04453975895009368,0.04438417823120294
UAMY,0.05960237374660975,0.40462399027308976,0.027345752929408385,0.037554250353090034,0.09034035311242736,0.010230860324715582,0.286566285291469,0.061365915182537825,0.033853943137625804,0.026043839983452135,0.04022916893298175,0.10612568013420993,0.4028917610914073,0.03097402527076833,0.6097375394335426,0.16710388183371985,2.220458770357557,0.03867272864056399,-0.10634254662777252,0.0746711977616655,0.02682925520648836
USB,0.010541763859048717,0.07668465754006502,0.1527551195740247,0.16342178605918928,0.0040687750069134075,0.12237918860626744,0.10706734160463094,0.08220503018902386,0.13091706517729204,0.12003311647608209,0.009064792949925122,0.04913596233931014,0.0947776867447269,0.08646969701716904,0.11801524346918658,0.032030721363844064,0.03867272864056399,0.17600693568238476,-0.17939502781657773,0.12880740639149713,0.026086075303999957
UVXY,-0.17975205831916524,-0.23858243270784907,-0.17847682157322417,-0.22215854064271465,-0.27494136553245585,-0.17202899246843795,-0.28965587533081627,-0.2019124306376163,-0.1497109857335845,-0.17635371545510184,-0.161715785684907,-0.525958101668629,-0.4495429722307015,-0.14509092337590948,-0.31538909416282573,-0.2971418930941796,-0.10634254662777252,-0.17939502781657773,1.1262446718408263,-0.21566463350879533,-0.11631483347524968
XLE,0.017466899171043947,0.11579252848227609,0.12615190401587123,0.14551858683007793,0.027565150557204505,0.12762789784689826,0.11603706643729425,0.08875736979030159,0.10612595176820226,0.10799497273657098,0.019075867647469425,0.09398933787133973,0.10022813634314975,0.08048638760436141,0.14229349999723823,0.04453975895009368,0.0746711977616655,0.12880740639149713,-0.21566463350879533,0.18560326961948867,0.030900787918604223
XLV,0.025412831199227142,0.03390153572735306,0.025131318271032346,0.02710390244442465,0.03423877821432389,0.02279864215439823,0.03131778526535979,0.02794823041106038,0.022394351492209502,0.025832991227900993,0.027704503400725958,0.047093376314448626,0.04375791245171838,0.01990490342270339,0.031084767467533955,0.04438417823120294,0.02682925520648836,0.026086075303999957,-0.11631483347524968,0.030900787918604223,0.028847911635066028
