contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
APHA210514P00020000,2021-04-13 14:38:17,1.0,20.0,5.2,5.65,5.6,put,2021-05-14,0.049315068493150684,1.3125
APHA210514P00021000,2021-04-13 19:06:31,5.0,21.0,6.1,6.6,6.62,put,2021-05-14,0.049315068493150684,1.453125
APHA210514P00022000,2021-04-05 18:38:45,1.0,22.0,7.2,7.6,7.4,put,2021-05-14,0.049315068493150684,1.3125
APHA210514P00023000,2021-04-19 15:25:12,,23.0,8.15,8.75,9.0,put,2021-05-14,0.049315068493150684,
APHA210521C00015500,2021-04-26 19:44:41,1318.0,15.5,0.95,1.05,1.03,call,2021-05-21,0.0684931506849315,0.84375
APHA210521C00016000,2021-04-26 19:56:59,1907.0,16.0,0.79,0.93,0.9,call,2021-05-21,0.0684931506849315,0.890625
APHA210521C00016500,2021-04-26 19:44:41,725.0,16.5,0.67,0.77,0.77,call,2021-05-21,0.0684931506849315,0.90625
APHA210521C00017000,2021-04-26 19:51:14,67.0,17.0,0.57,0.65,0.63,call,2021-05-21,0.0684931506849315,0.890625
APHA210521C00017500,2021-04-26 18:27:28,40.0,17.5,0.49,0.6,0.58,call,2021-05-21,0.0684931506849315,0.9375
APHA210521C00018000,2021-04-26 19:44:01,1078.0,18.0,0.42,0.48,0.45,call,2021-05-21,0.0684931506849315,0.921875
APHA210521C00018500,2021-04-26 19:58:25,7.0,18.5,0.38,0.42,0.38,call,2021-05-21,0.0684931506849315,0.9375
APHA210521C00019000,2021-04-26 19:36:49,42.0,19.0,0.31,0.4,0.37,call,2021-05-21,0.0684931506849315,0.984375
APHA210521C00019500,2021-04-26 16:39:24,2.0,19.5,0.27,0.37,0.3,call,2021-05-21,0.0684931506849315,0.96875
APHA210521C00020000,2021-04-26 19:00:12,256.0,20.0,0.27,0.29,0.27,call,2021-05-21,0.0684931506849315,0.984375
APHA210521C00021000,2021-04-26 15:38:02,7.0,21.0,0.19,0.23,0.26,call,2021-05-21,0.0684931506849315,1.09375
